application_id,student_id,application_date,requested_amount,installments,purpose,has_guarantor,rent_expense,other_debts,channel
A000001,S000961,2024-10-16,2862.5,24,Curso,0,1200.0,0.0,WhatsApp
A000002,S000047,2024-02-04,4946.11,12,Taxas/Documentos,0,950.0,152.87,App
A000003,S000029,2024-10-05,779.82,9,Taxas/Documentos,1,1200.0,456.32,Web
A000004,S001666,2024-09-22,2362.83,6,Saúde,0,2200.0,670.24,App
A000005,S001263,2024-04-21,2001.61,12,Intercâmbio,0,1600.0,236.75,Agência
A000006,S001471,2024-09-21,2984.66,6,Curso,0,400.0,0.0,Web
A000007,S001510,2024-09-24,1470.38,9,Taxas/Documentos,0,700.0,1106.93,Web
A000008,S001086,2024-04-17,2865.44,6,Taxas/Documentos,1,700.0,0.0,App
A000009,S000765,2024-11-27,1967.03,12,Curso,0,950.0,879.11,App
A000010,S001266,2024-05-07,1276.2,24,Saúde,1,700.0,211.47,WhatsApp
A000011,S001073,2024-07-07,6001.17,24,Moradia,0,0.0,177.55,Web
A000012,S000140,2024-09-23,3958.21,9,Taxas/Documentos,1,1600.0,818.75,App
A000013,S001285,2024-06-08,2697.24,12,Taxas/Documentos,0,0.0,599.57,App
A000014,S001101,2024-07-21,2049.07,6,Taxas/Documentos,0,400.0,0.0,Agência
A000015,S001657,2024-11-25,2518.03,6,Saúde,1,950.0,509.12,Agência
A000016,S000735,2024-04-28,1555.88,12,Notebook,1,700.0,556.11,Web
A000017,S001375,2024-06-13,1935.25,9,Moradia,0,1600.0,0.0,App
A000018,S000524,2024-08-09,2182.29,6,Curso,0,1200.0,56.45,App
A000019,S001470,2024-10-17,1159.69,6,Moradia,1,950.0,0.0,App
A000020,S000743,2024-03-04,5362.74,9,Taxas/Documentos,1,1600.0,66.68,App
A000021,S000020,2024-12-07,3155.77,3,Saúde,1,400.0,517.9,App
A000022,S000312,2024-03-24,1568.76,12,Intercâmbio,0,0.0,205.41,WhatsApp
A000023,S000909,2024-02-01,1480.65,6,Taxas/Documentos,0,400.0,0.0,WhatsApp
A000024,S001072,2024-06-20,5745.12,12,Moradia,1,400.0,328.18,Agência
A000025,S001097,2024-03-13,1936.27,12,Notebook,0,950.0,251.59,Web
A000026,S000696,2024-12-20,2868.03,6,Intercâmbio,1,950.0,0.0,WhatsApp
A000027,S001610,2024-12-01,2457.44,6,Moradia,0,950.0,0.0,Web
A000028,S000888,2024-08-22,2119.15,9,Notebook,0,950.0,110.64,Web
A000029,S001430,2024-09-17,3367.88,9,Moradia,1,0.0,1652.27,App
A000030,S001394,2024-07-23,3092.23,6,Transporte,1,400.0,458.61,App
A000031,S000514,2024-10-11,1676.11,18,Saúde,0,1600.0,0.0,WhatsApp
A000032,S001021,2024-10-19,4172.49,3,Curso,1,1200.0,326.2,App
A000033,S001554,2024-04-01,7109.25,3,Notebook,0,1200.0,701.14,App
A000034,S001526,2024-09-10,3248.35,12,Curso,0,1200.0,960.71,WhatsApp
A000035,S001100,2024-05-08,4280.48,12,Curso,1,1200.0,668.29,App
A000036,S000265,2024-10-26,1456.86,6,Intercâmbio,1,950.0,171.3,App
A000037,S000164,2024-03-29,3133.05,12,Notebook,0,0.0,527.18,App
A000038,S000024,2025-01-05,2550.54,18,Taxas/Documentos,1,0.0,0.0,Web
A000039,S000243,2024-04-18,3151.69,18,Moradia,0,1200.0,588.52,App
A000040,S000234,2024-10-24,3426.13,9,Curso,0,400.0,0.0,App
A000041,S001166,2024-10-03,3347.76,12,Taxas/Documentos,0,400.0,862.58,App
A000042,S000524,2024-06-25,2064.82,3,Taxas/Documentos,0,700.0,0.0,Web
A000043,S000864,2024-05-14,5380.0,12,Moradia,1,400.0,0.0,App
A000044,S000185,2025-01-20,2748.95,3,Intercâmbio,0,700.0,0.0,Web
A000045,S000182,2025-01-22,1809.38,12,Transporte,0,1200.0,112.25,WhatsApp
A000046,S000707,2024-03-09,4070.06,24,Moradia,0,950.0,0.0,Agência
A000047,S000796,2024-03-30,1378.72,12,Curso,1,400.0,499.63,Web
A000048,S001461,2024-10-10,2356.06,9,Taxas/Documentos,0,1200.0,659.61,App
A000049,S000097,2024-06-22,4347.41,9,Notebook,0,700.0,476.25,Web
A000050,S000699,2025-01-19,2547.52,12,Intercâmbio,1,950.0,220.31,App
A000051,S000772,2024-11-21,2536.52,12,Intercâmbio,0,1200.0,858.48,Web
A000052,S001787,2024-02-13,1903.13,9,Curso,0,1200.0,487.13,Web
A000053,S000780,2024-09-05,809.41,9,Intercâmbio,0,700.0,163.31,App
A000054,S000134,2024-12-12,4798.19,3,Moradia,0,400.0,225.02,App
A000055,S000029,2024-12-31,5033.2,9,Transporte,0,950.0,302.43,Web
A000056,S000557,2024-06-30,762.58,3,Taxas/Documentos,0,400.0,428.8,App
A000057,S000336,2024-04-23,2822.11,12,Saúde,0,950.0,754.79,Web
A000058,S000551,2024-09-25,5694.17,12,Moradia,0,700.0,0.0,App
A000059,S000245,2024-03-03,4765.99,18,Saúde,0,400.0,437.39,App
A000060,S000784,2024-12-30,2788.5,6,Intercâmbio,0,700.0,257.38,WhatsApp
A000061,S001641,2024-10-07,1455.7,9,Intercâmbio,0,1200.0,309.53,Web
A000062,S000408,2024-02-13,1693.67,6,Taxas/Documentos,0,1600.0,0.0,App
A000063,S001578,2024-07-30,4410.17,12,Notebook,0,400.0,0.0,Web
A000064,S000395,2024-12-31,3017.82,6,Taxas/Documentos,0,1200.0,259.21,App
A000065,S001156,2024-04-23,1545.2,9,Moradia,0,2200.0,842.4,Web
A000066,S001487,2024-05-17,2915.91,12,Intercâmbio,0,950.0,650.02,Web
A000067,S000675,2024-08-03,2704.08,6,Saúde,0,950.0,330.36,WhatsApp
A000068,S000233,2024-05-26,2014.22,18,Curso,0,1600.0,442.33,Web
A000069,S000142,2024-08-28,5360.26,18,Saúde,0,1200.0,0.0,App
A000070,S001522,2024-06-17,1321.06,9,Notebook,0,950.0,0.0,Agência
A000071,S000403,2024-05-04,887.35,9,Moradia,0,700.0,558.76,Agência
A000072,S000565,2024-05-23,822.73,3,Transporte,0,1200.0,600.72,App
A000073,S000719,2024-09-02,1654.43,9,Transporte,0,1600.0,196.21,Web
