student_id,birth_date,state,campus,employment_type,declared_income_monthly,created_at
S000001,2006-01-24,PE,Online,CLT,887.55,2022-07-29
S000002,1992-02-19,PE,Campus Norte,Estágio,487.41,2023-03-24
S000003,2002-09-20,MG,Campus Norte,Estágio,4422.91,2024-05-09
S000004,2002-08-19,DF,Campus Norte,Estágio,2204.84,2022-11-23
S000005,1996-06-09,SP,Campus Sul,Freelancer,427.73,2023-11-21
S000006,2006-02-13,MG,Online,Estágio,2279.91,2023-06-26
S000007,2008-12-15,CE,Online,CLT,1749.74,2024-02-15
S000008,2007-09-10,RS,Campus Norte,Estágio,1232.14,2024-01-11
S000009,1991-04-23,DF,Centro,Bolsista,1175.73,2023-08-16
S000010,2007-04-28,BA,Campus Sul,Sem renda,1393.49,2024-01-18
S000011,2004-06-12,MG,Centro,Freelancer,1442.02,2022-05-27
S000012,2004-09-24,PR,Campus Sul,Freelancer,2026.65,2023-07-07
S000013,1992-04-22,RJ,Centro,Estágio,1845.03,2022-04-25
S000014,2002-01-26,BA,Campus Norte,Bolsista,2657.04,2023-03-09
S000015,1991-12-11,SC,Online,Freelancer,725.47,2024-07-28
S000016,2005-05-05,CE,Campus Sul,Sem renda,1101.12,2023-06-23
S000017,1991-07-19,CE,Campus Norte,Estágio,2253.34,2022-10-11
S000018,1993-08-03,SC,Centro,Sem renda,2665.81,2022-11-10
S000019,2004-11-14,BA,Centro,Bolsista,1491.42,2024-08-16
S000020,1993-05-18,PE,Campus Sul,Estágio,776.14,2022-08-23
S000021,1992-05-25,PR,Centro,Freelancer,1572.46,2024-06-09
S000022,2004-08-01,SP,Centro,Estágio,2841.09,2023-06-24
S000023,1993-03-17,BA,Campus Norte,Sem renda,1505.99,2023-09-04
S000024,1993-10-07,SP,Online,Estágio,961.93,2024-12-22
S000025,2009-10-11,SC,Campus Sul,Estágio,1219.35,2024-01-14
S000026,2000-04-02,BA,Campus Norte,Sem renda,718.9,2022-06-11
S000027,2007-12-16,RJ,Campus Norte,Estágio,730.09,2024-12-26
S000028,2005-03-22,RS,Campus Sul,Estágio,2672.97,2023-06-27
S000029,1993-10-14,DF,Campus Sul,Bolsista,1366.22,2023-02-16
S000030,2000-07-22,CE,Campus Norte,Bolsista,1018.54,2024-11-25
S000031,1995-02-08,BA,Online,Sem renda,1754.36,2023-04-17
S000032,1991-04-01,DF,Centro,CLT,822.88,2023-04-14
S000033,2007-01-28,PR,Online,Estágio,1930.87,2023-07-25
S000034,1994-04-18,DF,Campus Norte,CLT,733.49,2024-08-26
S000035,2002-08-26,RJ,Campus Norte,Bolsista,269.52,2024-06-01
S000036,1998-07-14,RJ,Campus Norte,Bolsista,2103.96,2022-07-21
S000037,2008-07-24,SC,Campus Norte,CLT,3230.39,2023-05-25
S000038,2003-04-18,DF,Campus Sul,Sem renda,746.53,2023-07-25
S000039,1995-04-28,RS,Campus Norte,Bolsista,1454.07,2022-07-20
S000040,2008-11-18,SC,Centro,Estágio,1119.84,2023-04-30
S000041,2004-07-16,SP,Centro,Freelancer,1661.46,2022-05-01
S000042,2004-07-01,RS,Centro,Sem renda,846.92,2024-07-20
S000043,2000-07-23,MG,Campus Sul,Estágio,1100.85,2024-09-23
S000044,2005-04-10,BA,Campus Sul,Bolsista,352.57,2022-05-05
S000045,1999-01-02,CE,Campus Norte,Bolsista,1344.52,2024-12-23
S000046,2004-01-17,CE,Centro,Freelancer,2221.34,2022-05-20
S000047,2002-07-04,SP,Campus Norte,CLT,1887.36,2022-03-23
S000048,2007-07-22,MG,Campus Sul,Estágio,2514.94,2023-06-19
S000049,2003-11-23,SP,Campus Sul,Sem renda,1125.5,2022-09-26
S000050,2000-08-11,RS,Online,Estágio,1858.9,2022-01-20
S000051,1995-10-19,CE,Campus Sul,Freelancer,450.28,2023-03-13
S000052,1993-05-05,CE,Centro,Sem renda,837.76,2023-05-16
S000053,1998-05-06,SC,Campus Norte,Estágio,1268.53,2023-09-12
S000054,1993-01-22,SP,Centro,Sem renda,887.25,2022-08-01
S000055,2005-05-04,PR,Campus Sul,Freelancer,1003.02,2022-11-15
S000056,2001-05-20,PR,Campus Sul,Bolsista,1044.51,2023-06-25
S000057,1993-08-09,SC,Campus Sul,Bolsista,7360.86,2022-07-09
S000058,1996-05-02,MG,Campus Norte,CLT,6028.99,2023-06-21
S000059,2004-12-15,SP,Centro,Freelancer,1625.59,2022-01-20
